stat,value
F micro SGDClassifier,0.44000000000000045
F macro SGDClassifier,0.43872229465449747
F micro LinearSVC,0.4666666666666661
F macro LinearSVC,0.4704717659421498
F micro SGDClassifier,0.44000000000000045
F macro SGDClassifier,0.43872229465449747
F micro SGDClassifier,0.44000000000000045
F macro SGDClassifier,0.43872229465449747
F micro MultinomialNB,0.4266666666666661
F macro MultinomialNB,0.4271338724168918
