model,accuracy,f1 micro,f1 macro
random,0.3235294117647059,0.3235294117647059,0.32222222222222224
NB,0.4852941176470588,0.4852941176470588,0.4723436285936286
SGD,0.47058823529411764,0.47058823529411764,0.4521416083916084
LinearSVC,0.5,0.5,0.49253185114023657
