model,accuracy,f1 micro,f1 macro
random,0.415527950310559,0.415527950310559,0.35965541495416636
NB,0.5826086956521739,0.5826086956521739,0.4572768035691714
SGD,0.5875776397515527,0.5875776397515527,0.5577144518402298
LinearSVC,0.6,0.6,0.5662083580775976
