model,accuracy,f1 micro,f1 macro
random,0.41055900621118013,0.4105590062111802,0.3464675105467227
NB,0.5826086956521739,0.5826086956521739,0.4572768035691714
SGD,0.6006211180124224,0.6006211180124224,0.5626241537126919
LinearSVC,0.6,0.6,0.5662083580775976
