model,accuracy,f1 micro,f1 macro
random,0.29411764705882354,0.29411764705882354,0.2831196581196581
NB,0.4852941176470588,0.4852941176470588,0.4723436285936286
SGD,0.47058823529411764,0.47058823529411764,0.4577500577500577
LinearSVC,0.5147058823529411,0.5147058823529411,0.5058492487310433
