model,accuracy,f1 micro,f1 macro
random,0.47381546134663344,0.47381546134663344,0.33448011467813443
NB,0.5910224438902744,0.5910224438902744,0.2740622788393489
SGD,0.57356608478803,0.57356608478803,0.459578390490129
LinearSVC,0.5486284289276808,0.5486284289276808,0.45466307195772954
