type,f1random,f1NB,f1SGD,f1LinearSVC
agreement,0.75,0.75,0.25,0.25
criticism,0.42857142857142855,0.642857142857143,0.5714285714285713,0.642857142857143
disagreement,0.0,0.5,1.0,1.0
doubting,0.0,1.0,1.0,1.0
praise,0.0,0.0,0.0,1.0
references,0.6,0.6,0.6,0.6
statement,0.27777777777777773,0.5555555555555555,0.6111111111111109,0.6111111111111109
unknown,0.41661341853034684,0.5821086261980786,0.5878594249201174,0.5993610223642032
