type,f1random,f1NB,f1SGD,f1LinearSVC
agreement,0.5,0.0,0.0,0.0
content,0.0,0.5,0.5,0.5
criticism,0.5,0.0,1.0,1.0
disagreement,0.0,0.0,0.0,0.0
doubing,0.0,0.0,0.0,0.0
references,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
statement,0.0,0.0,0.0,0.0
unknown,0.48329048843188105,0.60411311053985,0.5809768637532154,0.5552699228791768
