model,accuracy,f1 micro,f1 macro
random,0.4666666666666667,0.4666666666666667,0.45032906084971996
NB,0.45555555555555555,0.45555555555555555,0.20865139949109415
SGD,0.5222222222222223,0.5222222222222223,0.48869626497533475
LinearSVC,0.5333333333333333,0.5333333333333333,0.506681963565568
